ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
0000b9fcba019d36,xclick,/m/0bt9lr,1,0.165,0.90375,0.268333,0.998333,1,1,0,0,0,0.63625,0.90375,0.74875,0.165,0.268333,0.506667,0.998333,0.661667
0000cb13febe0138,xclick,/m/0bt9lr,1,0.0,0.651875,0.0,0.9990620000000001,1,1,0,0,0,0.3125,0.0,0.3175,0.651875,0.0,0.41088199999999997,0.9990620000000001,0.9990620000000001
0005a9520eb22c19,xclick,/m/0bt9lr,1,0.094167,0.611667,0.055626,0.9987360000000001,1,1,0,0,0,0.4875,0.611667,0.243333,0.094167,0.055626,0.226296,0.9987360000000001,0.305942
0006303f02219b07,xclick,/m/0bt9lr,1,0.0,0.9992190000000001,0.0,0.9988239999999999,1,1,0,0,0,0.508594,0.9992190000000001,0.0,0.4789060000000001,0.0,0.375294,0.72,0.9988239999999999
00064d23bf997652,xclick,/m/0bt9lr,1,0.240938,0.906183,0.0,0.694286,0,0,0,0,0,0.678038,0.906183,0.240938,0.522388,0.0,0.37,0.42428599999999994,0.694286
00074503ceae5131,xclick,/m/0bt9lr,1,0.0,0.999375,0.270169,0.9990620000000001,0,1,0,0,0,0.856875,0.999375,0.0,0.3775,0.270169,0.6031890000000001,0.43621000000000004,0.9990620000000001
0007ab455476f960,xclick,/m/0bt9lr,1,0.001333,0.999333,0.0,0.999,1,1,0,0,0,0.785333,0.999333,0.6920000000000001,0.001333,0.0,0.475,0.999,0.983
0008cf211699d6a5,xclick,/m/0bt9lr,1,0.0,0.685625,0.005833,0.999167,1,1,0,0,0,0.644375,0.685625,0.55375,0.0,0.005833,0.388333,0.999167,0.160833
00092fa0c421c8c0,xclick,/m/0bt9lr,1,0.0,0.91125,0.0,0.998333,0,1,0,0,0,0.46625,0.91125,0.0,0.14875,0.0,0.331667,0.876667,0.998333
000a3f4144bf73ba,xclick,/m/0bt9lr,1,0.078333,0.96,0.180645,0.933333,1,0,0,0,0,0.505,0.96,0.29,0.078333,0.180645,0.529032,0.933333,0.5720430000000001
00126bd470298515,xclick,/m/0bt9lr,1,0.096875,0.755,0.0,0.9990559999999999,1,1,0,0,0,0.24125,0.755,0.28875,0.096875,0.0,0.315392,0.9990559999999999,0.18508
0016a719395bc945,xclick,/m/0bt9lr,1,0.38,0.999375,0.035713999999999996,0.9990600000000001,0,1,0,0,0,0.4875,0.38,0.8325,0.999375,0.035713999999999996,0.542293,0.9990600000000001,0.760338
00176417fa2020e7,xclick,/m/0bt9lr,1,0.0,0.58625,0.083333,0.999167,0,1,0,0,0,0.205,0.58625,0.24625,0.0,0.083333,0.625833,0.999167,0.76
001799237d3ed58e,xclick,/m/0bt9lr,1,0.05125,0.88125,0.18011300000000002,0.712946,1,0,0,0,0,0.05125,0.439375,0.88125,0.77875,0.515009,0.18011300000000002,0.535647,0.712946
001b283e93591cf4,xclick,/m/0bt9lr,1,0.08875,0.775625,0.15,0.999167,0,1,0,0,0,0.414375,0.08875,0.341875,0.775625,0.15,0.685,0.999167,0.7475
001be2342180e406,xclick,/m/0bt9lr,1,0.17625,0.961875,0.04,0.773333,1,0,0,1,0,0.186875,0.17625,0.961875,0.67625,0.04,0.05,0.680833,0.773333
001e0b7c387bdd06,xclick,/m/0bt9lr,1,0.015986,0.9991120000000001,0.020013,0.999375,1,1,0,0,0,0.634103,0.9991120000000001,0.685613,0.015986,0.020013,0.689806,0.999375,0.250156
001f2aaae28c1b91,xclick,/m/0bt9lr,1,0.291745,0.9990620000000001,0.350625,0.999375,1,1,0,0,0,0.873358,0.9990620000000001,0.540338,0.291745,0.350625,0.601875,0.999375,0.644375
0020c297db8672b8,xclick,/m/0bt9lr,1,0.1175,0.84625,0.233918,0.903091,0,0,0,0,0,0.355,0.1175,0.613125,0.84625,0.233918,0.51462,0.903091,0.6566420000000001
00251c7d87cd86fa,xclick,/m/0bt9lr,1,0.018333000000000002,0.781667,0.208333,0.78125,1,0,0,0,0,0.25166700000000003,0.018333000000000002,0.288333,0.781667,0.78125,0.570833,0.208333,0.460417
00267e0c8e2eb09a,xclick,/m/0bt9lr,1,0.164375,0.999375,0.0,0.999167,0,1,0,0,0,0.586875,0.999375,0.911875,0.164375,0.0,0.464167,0.999167,0.1975
00287bf8ccc459fa,xclick,/m/0bt9lr,1,0.46875,0.914375,0.0,0.999124,0,1,0,0,0,0.675,0.914375,0.696875,0.46875,0.0,0.21015799999999998,0.999124,0.42469399999999996
002b020146637617,xclick,/m/0bt9lr,1,0.035625,0.84,0.0,0.9990620000000001,0,1,0,0,0,0.035625,0.84,0.5275,0.47875,0.245779,0.850844,0.9990620000000001,0.0
002e48331764d741,xclick,/m/0bt9lr,1,0.0,0.998246,0.012195000000000001,0.9756100000000001,1,1,0,0,0,0.784211,0.998246,0.926316,0.0,0.9756100000000001,0.763415,0.012195000000000001,0.263415
